full_tweets,location,quote_count,reply_count,retweet_count,favorite_count,language
"covid19 ماراح فقيدك الله يرحمه، ما له داعي تفقد أكثر استقبل التعازي بالتلفوننتعاونمانتهاونسلامتكبيدك http",unknown,0,0,18,34,ar
علوش عن جبران باسيل المناقق والمفتن والمفلس lebanon24,"Beirut, Lebanon",0,0,0,0,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,41,45,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,42,45,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,43,45,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,44,46,ar
الآن على تلفزيونالكويت المؤتمر الإعلامي الدوري لوزارة الصحة حول آخر المستجدات والتطورات بشأن فيروسكوفيد19الكويتوزارةالصحةالكويتكوفيد19 covid19وزارةالإعلامالكويت,Kuwait,0,0,0,0,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,45,47,ar
"في بريطانيا 215  وفاة وأقل من عشرة الاف حالة، أما الفكسنة وصلت 175مليون خبر سار",london UK,0,0,0,0,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,46,49,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,47,49,ar
ما بصدق انو ممثل للمستقبل,لبنان,0,0,0,0,ar
"في بريطانيا 215  وفاة وأقل من عشرة الاف حالة، أما الفكسنة وصلت 175مليون خبر سار",jeddah ,0,0,1,2,ar
قائدالجيش تلقّي اللقاح هو السبيل الوحيد لخلاصنا,Lebanon,0,0,0,0,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,48,50,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,49,51,ar
"الدليل الوحيد في العالم على ان اللقاح اوقف كورونا في اسرائيل، حيث تجري العمليات مع رصد المعلومات نصف السكان اخذوا فايزر",الخبر,1,6,26,51,ar
الآن على تلفزيونالكويت المؤتمر الإعلامي الدوري لوزارة الصحة حول آخر المستجدات والتطورات بشأن فيروسكوفيد19الكويتكوفيد19 covid19 وزارةالاعلامالاخباروزارةالصحةالكويت,Kuwait,0,0,0,0,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,50,52,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,51,52,ar
هيدا عامل متل يلّي ما بقدر ينام مع مرتو فبيستعين بذكر تاني ليعمل شغلو وآخر شى بسجّل الولد على اسمويا ابني على شو مبسوط انو sanctioned؟ ما تكون انت عضو بالcongress ومش عارفين ؟,Lebanon,0,0,0,0,ar
بالصور  رغم التعبئة العامة زحمة متنزّهين على الثلج,unknown,0,0,0,0,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,52,55,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,53,55,ar
عِش ضَاحِكاً مَهمَا شَقِيت؛ إنَّ الجُروحَ بصَوتِ الضَّحِكِ تَلتَئِمُعارفتكم استحشتوني حتي انا استحشتكم covid19 مساءالخير,Libya🇱🇾,0,0,0,0,ar
يتم تطعيم الأشخاص الذين يعيشون في المناطق الأكثر تضرراً من وباء كورونا بمعدل أبطأ من بقية سكان الولايات المتحدة مما يؤكد وجود فوارق عرقية عميقة الجذور في الوصول إلى التطعيمات  هناك قلق من انخفاض معدلات التطعيم بالذات في الأحياء التي يعيش فيها الأمريكيين من أصل أفريقي,"Kingdom of Saudi Arabia,Riyadh",0,0,0,0,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,54,58,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,55,59,ar
الابتسامة أجمل من ألف كلمة شكروتأكد بإن الإنصات وعدم مقاطعة الأخرينهو مثل الجواهر إلذي يزداد بريقاً و لن يكلف فِعلها شيئاً لكن,unknown,0,2,56,59,ar
