full_tweets,labels ,is_duplicate,location,quote_count,reply_count,retweet_count,favorite_count,language
"في بريطانيا 215  وفاة وأقل من عشرة الاف حالة، أما الفكسنة وصلت 175مليون خبر سار",1,TRUE,jeddah,0,0,1,2,ar
قائدالجيش تلقّي اللقاح هو السبيل الوحيد لخلاصنا,1,FALSE,Lebanon,0,0,0,0,ar
"الدليل الوحيد في العالم على ان اللقاح اوقف كورونا في اسرائيل، حيث تجري العمليات مع رصد المعلومات نصف السكان اخذوا فايزر",1,FALSE,الخبر,1,6,26,51,ar
الآن على تلفزيون الكويت المؤتمر الإعلامي الدوري لوزارة الصحة حول آخر المستجدات والتطورات بشأن فيروس كوفيد19 الكويت كوفيد19 covid19 وزارةالاعلام الاخبار وزارة الصحة الكويت,1,TRUE,Kuwait,0,0,0,0,ar
بالصور  رغم التعبئة العامة زحمة متنزّهين على الثلج,1,FALSE,unknown,0,0,0,0,ar
عِش ضَاحِكاً مَهمَا شَقِيت؛ إنَّ الجُروحَ بصَوتِ الضَّحِكِ تَلتَئِمُعارفتكم استحشتوني حتي انا استحشتكم covid19 مساءالخير,1,FALSE,Libya🇱🇾,0,0,0,0,ar
يتم تطعيم الأشخاص الذين يعيشون في المناطق الأكثر تضرراً من وباء كورونا بمعدل أبطأ من بقية سكان الولايات المتحدة مما يؤكد وجود فوارق عرقية عميقة الجذور في الوصول إلى التطعيمات  هناك قلق من انخفاض معدلات التطعيم بالذات في الأحياء التي يعيش فيها الأمريكيين من أصل أفريقي,1,FALSE,"Kingdom of Saudi Arabia,Riyadh",0,0,0,0,ar
مقارنة بين كورونا  و سارس و ميرس في بدايات الجائحة خطورة كورونا الحالي هو عدم ظهور الاعراض احيانا  و سهولة الأنتقال  للفيروس المتوقع حسب رأي البعض ان المناعة مع التطعيم الحالي ستؤدي الى اختفاء الحالات و ليس احتفاء الفيروس قريبا ان لم يحدث اي تحور جديد خطير,1,FALSE,UAE,0,0,0,0,ar
الهند تتحدى شركة فايزر لإجراء تجربة سريرية على لقاح كوروناشركة فايزر ألغت وأسقطت الطلب على إذن استخدام الطوارئ للقا,1,FALSE,unknown,1,2,45,82,ar
"covid19 ماراح فقيدك الله يرحمه، ما له داعي تفقد أكثر استقبل التعازي بالتلفوننتعاونمانتهاونسلامتكبيدك http",1,TRUE,unknown,0,0,19,39,ar
بنهاية موضوعنا لا تترددوا في أخذ موعد للتطعيم ضد كورونا  done by المصادر http,1,FALSE,unknown,0,0,1,0,ar
أكثر من ألف وستمائة حالة شفاء من فيروس كورونا في الأردن اليوم وارتفعت عدد الإصابات بفيروس كورونا اليوم إلى 3917 إصابة جديدة مسجلة وبفارق 1717 إصابة عن العدد المعلن عنه البارحةخليكبالبيت خليكفيالبيت الاردنكوروناstayhome coronavirus covid19,1,FALSE,Amman,0,0,0,0,ar
بنهاية موضوعنا لا تترددوا في أخذ موعد للتطعيم ضد كورونا  done by المصادر http,1,TRUE,Riyadh,0,0,2,1,ar
"أعلن رئيس الوزراء الكوري أن كوريا الجنوبية ستبدأ في إعطاء أول دفعة من 117 ألف جرعة من لقاح pfizer ضد فيروس كورونا في 27 فبراير، أي بعد يوم من بدء البلاد في أول التطعيمات بمنتجات astrazeneca، وتدعو الخطة إلى تلقيح حوالي 10 ملايين شخص المعرضين لخطر كبير بحلول يوليو",1,FALSE,unknown,0,0,0,0,ar
"الدليل الوحيد في العالم على ان اللقاح اوقف كورونا في اسرائيل، حيث تجري العمليات مع رصد المعلومات نصف السكان اخذوا فايزر",1,TRUE,"Riyadh, Kingdom of Saudi Arabia",1,6,28,54,ar
"الدليل الوحيد في العالم على ان اللقاح اوقف كورونا في اسرائيل، حيث تجري العمليات مع رصد المعلومات نصف السكان اخذوا فايزر",1,TRUE,الخاص مهمل تماماً,1,6,29,54,ar
"بلومبرغ  يبدو أن لقاح فايزر يمنع إصابة الغالبية العظمى من المستفيدين في إسرائيل بالعدوى ، مما يوفر أول مؤشر حقيقي في العالم على أن التطعيم سيحد من إنتقال فيروس كورونا",1,FALSE,unknown,0,0,0,0,ar
"الدليل الوحيد في العالم على ان اللقاح اوقف كورونا في اسرائيل، حيث تجري العمليات مع رصد المعلومات نصف السكان اخذوا فايزر",1,TRUE,"London, England",1,6,30,55,ar
لقاح كوفيد19 متاح لجميع موظفي و متقاعدي أرامكوالسعودية و أفراد عائلاتهم الذين تبلغ أعمارهم 18 عامًا فأكثرسيتم تحديد المو,1,FALSE,KSA,0,0,6,10,ar
"بلومبرغ  يبدو أن لقاح فايزر يمنع إصابة الغالبية العظمى من المستفيدين في إسرائيل بالعدوى ، مما يوفر أول مؤشر حقيقي في العالم على أن التطعيم سيحد من إنتقال فيروس كورونا",1,TRUE,unknown,0,0,0,0,ar
فلسطين تسجل 1564 إصابة جديدة بفيروس كوروناللتفاصيل نتصدرالمشهدcovid19,1,FALSE,دولة الإمارات - أبوظبي,0,0,0,0,ar
فلسطين تسجل 1564 إصابة جديدة بفيروس كوروناللتفاصيل نتصدرالمشهدcovid19,1,TRUE,unknown,0,0,1,0,ar
"الدليل الوحيد في العالم على ان اللقاح اوقف كورونا في اسرائيل، حيث تجري العمليات مع رصد المعلومات نصف السكان اخذوا فايزر",1,TRUE,السعوديه,1,6,31,55,ar
مقارنة بين كورونا  و سارس و ميرس في بدايات الجائحة خطورة كورونا الحالي هو عدم ظهور الاعراض احيانا  و سهولة الأنتقال  لل,1,TRUE,"Dubai, United Arab Emirates",0,1,1,0,ar
فريق من المنطقة الثالثة بالتعاون مع مكتب الخدمات والصحة في حركة امل  أثناء إجراء فحوصات لمخالطين بعض المصابين بفيروس covid19  في بلدتي شحور ودبعالمفوضيةجبلعامل خدمتكمرسالتنا جمعيةالرسالةللإسعافالصحي,1,FALSE,لبنان,0,0,0,0,ar
افتتاح مركز اللقاح في مستشفى بعلبك الحكومي واللقاح في الهرمل رهن زيادة التسجيل,1,FALSE,"Lebanon, Bekaa",0,0,0,0,ar
تنظيم رائع و سريع وكل الموجودين متعاونين و لطيفين جهود تشكر عليها الجامعة و القائمين على المركز,1,FALSE,"Riyadh, Kingdom of Saudi Arabia",0,0,0,0,ar
اللينك كامل لتعليمات الcdc  عن زيادة الحماية ب ٢ ماسك زي ما بايدن كان لابس بلظبط,1,FALSE,"Brooklyn, NY",0,0,0,0,ar
كل ما تسمعون به و ترونه من تشديد في اجراءات التباعد ولبس الكمامات وغرامات على التجمعات امر متبع في اغلب دول العالم لضمان قط,1,FALSE,,0,5,4,31,ar
إصابات كورونا تصل إلى 412 مليون حالة في بريطانياللتفاصيل نتصدرالمشهدcovid19,1,FALSE,دولة الإمارات - أبوظبي,0,0,0,0,ar
كل ما تريد معرفته عن سلالة كورونا الفنلنديةcovid19  عينكعلىالعالم,1,FALSE,أخبار العالم,0,0,0,0,ar
