full_tweets,Label,location,quote_count,reply_count,retweet_count,favorite_count,language
lol at the pro israel people losing their minds over this totally apt joke,-1,unknown,3,10,47,212,en
27k dip in active covid19 cases after 5 days of rise lets hope we can hold this line  need not be any wave mask,-1,unknown,0,5,7,69,en
emba canada closed god from our life church service is illegal during the lockdown doug ford and  destroy canada causing economic collapse child abuse drug addiction domestic violence unemployment suicide no love no hope covid19,-1,"Toronto, Canada  and Worldwide",0,0,0,0,en
nyc is down to fewer than 1000 vaccine doses after nationwide big freeze brings deliveries to a standstill,1,unknown,0,3,5,11,en
kentucky lets hope cvs opens up for vaccines soon covidvaccine,2,unknown,0,0,0,0,en
7 can covid19 vaccine alter human genetic information dnano covid19 vaccine does not alter dna it triggers immun,2,Escrow,0,0,15,10,en
many congratulations  2 more years for me and determined will make it for us all  will raise a glass to youall the very best,-1,"West Cumbria, England",0,0,0,0,en
how the uk gained an edge with astrazenecas vaccine commitments,1,"Aberdeen, UK",0,0,0,0,en
oii didnt vote for this cnut to advise the government on anythingwhy isnt he in jail blair advising matt hancoc,-1,unknown,1,10,27,57,en
language is shifting to temporary vaccinepassportswere aware the govt could try this approach as israel are,1,unknown,0,3,15,29,en
if scottyfromphotoops had wanted to show support for the vaccinations maybe he should have gone with astra ze,1,unknown,0,0,2,7,en
a 32yearold woman and her fetus died of covid19 over the weekend at hadassahuniversity medical center the hospital,1,MÉTROPOLE DE LYON,6,4,17,22,en
virus of covid19 rapidly changing revolving in new environment and makes the innovation of vaccine an uphill task  corona virus is a large group of virus which evolves very fast with changing situation and environment for more,1,unknown,0,0,0,0,en
only get tested if you are sick do not give devilla ammunition for continued lockdownsshe can not explain downward trend in curvebut scares us with variancespcr tests proven faulty  and incorrectly done then spikes the curve,1,God's Country Toronto Canada,0,0,0,0,en
enough to leave the eu,-1,"Stockbridge, England",0,0,0,0,en
countries in the global south dont want pity or charity  want to change the rules that sustain vaccine apartheid,1,unknown,1,0,2,2,en
explain this then,-1,"Brooklyn, NY",0,0,0,0,en
,,Sweden,0,0,2,2,en
morning my 86 year old dad received his first covid19ireland vaccine im so grateful to all the medical staff who,2,unknown,0,0,1,1,en
have noticed the magical number of 6 million keeps popping up with regards to the vaccine,1,unknown,0,0,0,0,en
black leaders in florida address vaccine inequity why not work   m daily  msnbc,1,"Atlanta,GA",0,0,0,0,en
sunday as of this writing side effects completely gone but a tiny bit sleepy very happy to have gotten the vaccine end,2,Lenape Land/Brooklyn,0,0,0,0,en
